y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Nanocharging Solar,,,,,,,,,,,,,,,,,,,,,,
Nanowire battery,,,,,,,,,,,,2.0,,,,1.0,1.0,,,,,
Ocean thermal energy conversion,,2.0,6.0,6.0,5.0,8.0,7.0,8.0,7.0,14.0,14.0,26.0,26.0,32.0,29.0,30.0,24.0,37.0,37.0,25.0,39.0,14.0
Oil detection,,21.0,26.0,34.0,21.0,26.0,34.0,29.0,42.0,59.0,58.0,75.0,77.0,83.0,99.0,67.0,58.0,59.0,60.0,62.0,66.0,31.0
Optical rectenna,,1.0,,3.0,4.0,6.0,6.0,8.0,5.0,15.0,11.0,22.0,17.0,20.0,14.0,21.0,11.0,12.0,22.0,12.0,14.0,3.0
Organic solar cell,,,,1.0,4.0,2.0,7.0,12.0,4.0,8.0,22.0,33.0,40.0,50.0,51.0,38.0,39.0,45.0,37.0,39.0,43.0,12.0
Perovskite solar cell,,,,,,,,,,,,,,,6.0,36.0,48.0,69.0,100.0,107.0,123.0,39.0
Power-to-X,,,,,,,,,,,,,,,,1.0,,2.0,6.0,12.0,13.0,11.0
Proton Battery,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,1.0,1.0
Quantum dot solar cell,,1.0,,,,,,,1.0,2.0,,,1.0,4.0,5.0,7.0,5.0,4.0,8.0,2.0,7.0,1.0
second-generation biofuels,,,1.0,,2.0,,10.0,13.0,44.0,76.0,72.0,83.0,68.0,106.0,72.0,69.0,67.0,58.0,46.0,53.0,35.0,13.0
Smart grid,,,,,4.0,1.0,2.0,1.0,11.0,82.0,387.0,606.0,875.0,876.0,1019.0,917.0,920.0,808.0,786.0,736.0,586.0,265.0
Sodium-cooled fast reactor,,,1.0,3.0,1.0,2.0,2.0,10.0,5.0,16.0,17.0,27.0,26.0,32.0,26.0,38.0,35.0,22.0,25.0,28.0,29.0,14.0
Space-based solar power,,,2.0,,2.0,,2.0,2.0,2.0,6.0,4.0,4.0,5.0,5.0,8.0,3.0,5.0,4.0,6.0,5.0,10.0,3.0
Supercapacitor,,12.0,9.0,26.0,16.0,28.0,36.0,57.0,92.0,115.0,138.0,159.0,180.0,266.0,367.0,426.0,446.0,562.0,581.0,752.0,788.0,328.0
Supercritical water reactor,,,1.0,1.0,,2.0,2.0,3.0,,5.0,3.0,4.0,6.0,9.0,5.0,3.0,5.0,2.0,3.0,8.0,5.0,
Third-generation biofuels,,,,,,1.0,,,,2.0,6.0,8.0,12.0,15.0,11.0,14.0,10.0,6.0,11.0,10.0,10.0,4.0
