y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Ambient intelligence,,58.0,97.0,129.0,227.0,260.0,297.0,288.0,284.0,290.0,299.0,298.0,231.0,234.0,221.0,222.0,173.0,140.0,137.0,111.0,86.0,39.0
Artificial brain,,1.0,2.0,1.0,2.0,3.0,6.0,5.0,,2.0,3.0,2.0,2.0,3.0,3.0,7.0,1.0,4.0,3.0,2.0,8.0,1.0
Artificial general intelligence,4.0,239.0,303.0,292.0,398.0,397.0,405.0,442.0,504.0,546.0,551.0,512.0,621.0,663.0,664.0,788.0,994.0,1488.0,2741.0,4212.0,5898.0,2927.0
Atmospheric satellite,,,,,,,1.0,,,,1.0,,,1.0,1.0,,1.0,1.0,3.0,2.0,2.0,
Automatic AI debugging,,,,,,,,,,,,,,,,,,,,,,
Cloud computing,,4.0,2.0,2.0,5.0,5.0,5.0,8.0,56.0,344.0,891.0,1515.0,2274.0,2895.0,3045.0,2928.0,2597.0,2427.0,2267.0,1850.0,1465.0,750.0
Compressive Sensing,,,,,,,8.0,29.0,53.0,110.0,187.0,255.0,319.0,410.0,398.0,431.0,375.0,330.0,297.0,282.0,198.0,84.0
Deep learning,1.0,5.0,3.0,15.0,4.0,13.0,12.0,10.0,18.0,17.0,32.0,33.0,61.0,131.0,238.0,510.0,1166.0,2674.0,5012.0,8203.0,10826.0,5427.0
deep trench capacitor,,,,1.0,,,,1.0,,,,,,2.0,,,1.0,,,,,
Digital image processing,29.0,366.0,433.0,452.0,597.0,620.0,711.0,815.0,890.0,1018.0,1168.0,1177.0,1325.0,1398.0,1509.0,1475.0,1405.0,1467.0,1551.0,1454.0,1343.0,570.0
Digital image segmentation,,,,,3.0,,1.0,1.0,,,2.0,4.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,
Distributed ledger,,,,,,1.0,1.0,,,,2.0,,1.0,1.0,6.0,45.0,187.0,568.0,1581.0,2365.0,2516.0,1237.0
DNA Computing,1.0,14.0,18.0,23.0,33.0,35.0,31.0,43.0,42.0,47.0,33.0,33.0,32.0,35.0,38.0,29.0,30.0,33.0,25.0,33.0,19.0,6.0
DNA digital data storage,,,,,,,,,,,,,,,,,,,,,,
Edge Computing,,,,,,1.0,,8.0,3.0,1.0,,1.0,2.0,7.0,21.0,57.0,134.0,357.0,745.0,1017.0,1076.0,546.0
Edge enhancement,2.0,8.0,7.0,7.0,11.0,13.0,9.0,9.0,9.0,20.0,19.0,19.0,25.0,21.0,17.0,6.0,8.0,6.0,9.0,5.0,11.0,8.0
Embedded systems in substrate,,,,,,,,,,,,,,,,,,,,,,
Exascale computing,,,,,,,,1.0,3.0,5.0,10.0,15.0,23.0,19.0,20.0,22.0,20.0,20.0,13.0,20.0,15.0,4.0
Extreme ultraviolet lithography,,20.0,19.0,27.0,34.0,41.0,42.0,45.0,52.0,41.0,45.0,42.0,55.0,47.0,53.0,50.0,45.0,58.0,41.0,47.0,29.0,19.0
