,created_at,id,id_str,text,truncated,entities,metadata,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,retweeted_status,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,possibly_sensitive,extended_entities
name,Wed Nov 02 14:00:35 +0000 2022,1587806884702060546,1587806884702060546,"Rejoignez-nous demain:

https://t.co/1chXr2os1L

#énergie #solaire #tunisie #maroc #algerie https://t.co/sthccsdGyE",False,,,"<a href=""https://publer.io"" rel=""nofollow"">Publer.io</a>",,,,,,Solarabic.com سولارابيك,,,,,,False,0,0,False,False,fr,False,
screen_name,Wed Nov 02 14:00:35 +0000 2022,1587806884702060546,1587806884702060546,"Rejoignez-nous demain:

https://t.co/1chXr2os1L

#énergie #solaire #tunisie #maroc #algerie https://t.co/sthccsdGyE",False,,,"<a href=""https://publer.io"" rel=""nofollow"">Publer.io</a>",,,,,,solarabic,,,,,,False,0,0,False,False,fr,False,
location,Wed Nov 02 14:00:35 +0000 2022,1587806884702060546,1587806884702060546,"Rejoignez-nous demain:

https://t.co/1chXr2os1L

#énergie #solaire #tunisie #maroc #algerie https://t.co/sthccsdGyE",False,,,"<a href=""https://publer.io"" rel=""nofollow"">Publer.io</a>",,,,,,"Berlin, Germany",,,,,,False,0,0,False,False,fr,False,
description,Wed Nov 02 14:00:35 +0000 2022,1587806884702060546,1587806884702060546,"Rejoignez-nous demain:

https://t.co/1chXr2os1L

#énergie #solaire #tunisie #maroc #algerie https://t.co/sthccsdGyE",False,,,"<a href=""https://publer.io"" rel=""nofollow"">Publer.io</a>",,,,,,المرجع العربي الأول المتخصص في مجال #الطاقةـالمتجددة و #الاستدامة. مواضيعنا تتضمن: #الطاقةـالشمسية ، #طاقةـالرياح ، #سياراتـكهربائية و غيرها,,,,,,False,0,0,False,False,fr,False,
url,Wed Nov 02 14:00:35 +0000 2022,1587806884702060546,1587806884702060546,"Rejoignez-nous demain:

https://t.co/1chXr2os1L

#énergie #solaire #tunisie #maroc #algerie https://t.co/sthccsdGyE",False,,,"<a href=""https://publer.io"" rel=""nofollow"">Publer.io</a>",,,,,,https://t.co/g1wdTEf38p,,,,,,False,0,0,False,False,fr,False,
entities,Wed Nov 02 14:00:35 +0000 2022,1587806884702060546,1587806884702060546,"Rejoignez-nous demain:

https://t.co/1chXr2os1L

#énergie #solaire #tunisie #maroc #algerie https://t.co/sthccsdGyE",False,,,"<a href=""https://publer.io"" rel=""nofollow"">Publer.io</a>",,,,,,"{'url': {'urls': [{'url': 'https://t.co/g1wdTEf38p', 'expanded_url': 'https://solarabic.com', 'display_url': 'solarabic.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}",,,,,,False,0,0,False,False,fr,False,
protected,Wed Nov 02 14:00:35 +0000 2022,1587806884702060546,1587806884702060546,"Rejoignez-nous demain:

https://t.co/1chXr2os1L

#énergie #solaire #tunisie #maroc #algerie https://t.co/sthccsdGyE",False,,,"<a href=""https://publer.io"" rel=""nofollow"">Publer.io</a>",,,,,,False,,,,,,False,0,0,False,False,fr,False,
followers_count,Wed Nov 02 14:00:35 +0000 2022,1587806884702060546,1587806884702060546,"Rejoignez-nous demain:

https://t.co/1chXr2os1L

#énergie #solaire #tunisie #maroc #algerie https://t.co/sthccsdGyE",False,,,"<a href=""https://publer.io"" rel=""nofollow"">Publer.io</a>",,,,,,1921,,,,,,False,0,0,False,False,fr,False,
friends_count,Wed Nov 02 14:00:35 +0000 2022,1587806884702060546,1587806884702060546,"Rejoignez-nous demain:

https://t.co/1chXr2os1L

#énergie #solaire #tunisie #maroc #algerie https://t.co/sthccsdGyE",False,,,"<a href=""https://publer.io"" rel=""nofollow"">Publer.io</a>",,,,,,244,,,,,,False,0,0,False,False,fr,False,
listed_count,Wed Nov 02 14:00:35 +0000 2022,1587806884702060546,1587806884702060546,"Rejoignez-nous demain:

https://t.co/1chXr2os1L

#énergie #solaire #tunisie #maroc #algerie https://t.co/sthccsdGyE",False,,,"<a href=""https://publer.io"" rel=""nofollow"">Publer.io</a>",,,,,,12,,,,,,False,0,0,False,False,fr,False,
created_at,Wed Nov 02 14:00:35 +0000 2022,1587806884702060546,1587806884702060546,"Rejoignez-nous demain:

https://t.co/1chXr2os1L

#énergie #solaire #tunisie #maroc #algerie https://t.co/sthccsdGyE",False,,,"<a href=""https://publer.io"" rel=""nofollow"">Publer.io</a>",,,,,,Sun Nov 25 16:53:20 +0000 2018,,,,,,False,0,0,False,False,fr,False,
favourites_count,Wed Nov 02 14:00:35 +0000 2022,1587806884702060546,1587806884702060546,"Rejoignez-nous demain:

https://t.co/1chXr2os1L

#énergie #solaire #tunisie #maroc #algerie https://t.co/sthccsdGyE",False,,,"<a href=""https://publer.io"" rel=""nofollow"">Publer.io</a>",,,,,,163,,,,,,False,0,0,False,False,fr,False,
